ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
05,Arkansas,AR,05001,Arkansas County,05001,"Arkansas County, Arkansas",992.13983245535,17024,0,8717,36,6559,324,4633,468,511,175,1425,253,1668,258,1055,248,3391,31,3901,8,3505,362,257,96,46,95,5411,75,232,113,1166,173,168,91,634,168,263,13,27.7,2.8,6.5,2.2,21.7,3.7,14.0,2.2,6.3,1.5,19.9,0.2,22.9,0.1,20.9,2.2,3.9,1.5,0.3,0.6,31.8,0.4,2.6,1.3,13.4,2.0,2.6,1.4,9.7,2.6,1.5,0.1,0.2162,0.6622,0.4865,0.5405,0.1757,2.0811,0.2838,0.5541,0.5946,0.5,0.0946,0.3108,2.0541,0.1892,0.6216,0.6216,0.6216,0.5946,0.3919,0.6081,0.8784,0.4054,2.8784,0.7432,7.6352,0.3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18242,1621,243,4379,102,649,0,8,13,46,20,0,20,329,125,0,20,24.7,3.4,25.7,0.6,3.8,0.0,0.0,0.1,0.3,0.1,0.0,0.2,1.9,0.7,0.0,0.2
05,Arkansas,AR,05003,Ashley County,05003,"Ashley County, Arkansas",925.491261201394,19018,0,9432,29,7194,281,7092,740,421,151,1645,287,1868,297,1582,353,4011,54,4295,0,4329,517,364,131,231,121,6168,118,206,127,1907,251,104,60,637,167,170,8,37.6,3.9,6.0,2.1,22.9,3.9,14.1,2.3,8.4,1.9,21.1,0.3,22.6,0.0,22.9,2.7,5.1,1.8,1.3,0.7,32.4,0.6,2.2,1.3,20.2,2.6,1.4,0.8,8.9,2.3,0.9,0.0,0.8784,0.5946,0.5946,0.5541,0.527,3.1487,0.7838,0.6892,0.527,0.6757,0.2838,0.7703,2.946,0.8243,0.6486,0.6486,0.6486,0.527,0.7297,0.1351,0.8108,0.0676,2.2702,0.3919,9.0135,0.7838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18834,1813,258,4707,96,1164,0,25,23,0,20,55,68,191,121,26,41,25.2,3.3,24.8,0.5,6.1,0.0,0.1,0.1,0.0,0.2,0.3,0.4,1.0,0.6,0.1,0.2
05,Arkansas,AR,05005,Baxter County,05005,"Baxter County, Arkansas",553.930902680182,41801,0,22747,87,19021,406,11921,1096,831,272,4575,506,3318,494,2713,404,13003,129,7350,61,10799,974,664,197,54,114,3330,360,702,213,3083,399,402,175,835,216,426,21,28.9,2.7,5.1,1.7,24.1,2.6,10.4,1.5,6.5,1.0,31.1,0.3,17.6,0.1,26.1,2.4,3.5,1.0,0.1,0.3,8.0,0.9,3.1,0.9,13.6,1.8,2.1,0.9,4.4,1.1,1.0,0.1,0.3378,0.3649,0.7297,0.1757,0.1892,1.7973,0.2568,1.0,0.027,0.9054,0.027,0.1081,2.0675,0.2297,0.0811,0.0811,0.0811,0.6622,0.4324,0.3649,0.1216,0.1351,1.7162,0.1081,5.6621,0.1216,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,42394,3352,354,100,57,1118,0,230,71,181,82,18,22,1675,375,8,10,17.6,1.8,0.2,0.1,2.7,0.0,0.6,0.2,0.4,0.2,0.0,0.1,4.0,0.9,0.0,0.1
05,Arkansas,AR,05007,Benton County,05007,"Benton County, Arkansas",847.732527290936,286528,0,114425,88,104164,889,42211,2549,4194,507,17886,1124,18623,1232,26648,1725,38881,142,73739,0,28528,1218,6546,684,9946,878,101437,2832,9076,733,4918,532,3917,497,2931,382,2989,47,14.9,0.9,2.9,0.3,17.2,1.1,9.9,0.7,9.4,0.6,13.6,0.1,25.7,0.0,10.0,0.4,6.3,0.7,3.7,100.0,35.4,1.0,8.0,0.6,4.3,0.5,3.7,0.5,2.8,0.4,1.0,0.0,0.0,0.027,0.1081,0.1351,0.7568,1.027,0.0541,0.027,0.9324,0.0,0.473,0.9324,2.3648,0.4595,0.7162,0.7162,0.7162,0.9459,0.0135,0.8378,0.027,0.1351,1.9593,0.2027,6.0673,0.1622,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,3,290277,9205,872,5191,411,49721,0,11917,388,2172,279,1963,122,29184,2817,1289,672,8.8,0.8,1.8,0.1,17.4,0.0,4.2,0.1,0.8,0.1,0.7,0.1,10.2,1.0,0.4,0.2
05,Arkansas,AR,05009,Boone County,05009,"Boone County, Arkansas",589.722672366374,37662,0,17354,33,15172,411,8489,1029,754,237,3270,461,2467,456,2759,587,7849,60,8555,47,7462,561,562,186,78,111,2635,69,467,142,1569,323,122,70,842,248,463,23,22.9,2.8,4.4,1.4,21.6,3.0,9.4,1.7,7.4,1.6,20.8,0.2,22.7,0.1,20.0,1.5,3.8,1.2,0.2,0.3,7.0,0.2,2.7,0.8,9.0,1.9,0.8,0.5,5.5,1.6,1.2,0.1,0.0811,0.2297,0.4459,0.0811,0.3243,1.1621,0.0946,0.6351,0.5676,0.3784,0.0811,0.2568,1.919,0.0811,0.0135,0.0135,0.0135,0.6081,0.0946,0.0676,0.4189,0.2432,1.4324,0.0405,4.527,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37878,2129,344,123,51,1089,0,165,93,115,67,2,4,1087,148,54,45,14.0,2.3,0.3,0.1,2.9,0.0,0.4,0.2,0.3,0.2,0.0,0.1,2.9,0.4,0.1,0.1
05,Arkansas,AR,05011,Bradley County,05011,"Bradley County, Arkansas",649.166812347632,10461,0,5112,23,3587,180,3416,498,222,83,851,158,1006,187,1301,282,1931,24,2558,37,2071,262,199,70,104,103,4758,7,50,43,818,155,93,46,310,91,193,9,33.0,4.8,5.6,2.1,23.7,4.2,14.2,2.6,12.5,2.7,18.5,0.2,24.5,0.4,20.0,2.5,5.5,1.9,1.1,1.0,45.5,0.1,1.0,0.8,16.0,3.0,2.5,1.3,8.6,2.5,1.8,0.1,0.6486,0.527,0.6757,0.5676,0.9865,3.4054,0.8378,0.4189,0.8514,0.3784,0.3243,0.6892,2.6622,0.6892,0.8378,0.8378,0.8378,0.2027,0.5405,0.5676,0.7838,0.5541,2.6487,0.5946,9.5541,0.8514,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10143,983,180,2722,162,1674,0,6,11,0,20,0,20,329,157,27,38,27.4,4.8,26.0,1.5,16.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,3.1,1.5,0.3,0.4
05,Arkansas,AR,05013,Calhoun County,05013,"Calhoun County, Arkansas",628.600250317986,4773,0,2476,17,1498,131,970,195,165,74,148,75,509,127,384,175,1023,45,892,0,1158,200,63,36,54,59,1363,27,11,13,859,120,1,13,49,39,177,34,21.1,4.2,9.1,3.9,9.9,4.9,14.7,3.7,8.1,3.7,21.4,0.9,18.7,0.0,24.5,4.2,4.2,2.4,1.2,1.3,28.6,0.6,0.4,0.5,34.7,4.8,0.1,0.9,3.3,2.5,3.7,0.7,0.0541,0.9054,0.0,0.6351,0.4595,2.0541,0.2703,0.7297,0.0811,0.8378,0.1622,0.7297,2.5405,0.5946,0.5946,0.5946,0.5946,0.0541,1.0,0.0,0.0676,0.7973,1.919,0.1892,7.1082,0.2568,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6647,344,98,991,72,233,0,8,20,21,31,0,13,110,67,0,13,23.0,6.5,20.8,1.5,4.9,0.0,0.2,0.4,0.4,0.6,0.0,0.8,2.3,1.4,0.0,0.8
05,Arkansas,AR,05015,Carroll County,05015,"Carroll County, Arkansas",629.927282891986,28362,0,13858,31,11357,337,7386,859,383,146,2658,396,2868,391,3488,738,6556,118,6237,174,3902,505,408,158,1173,283,7590,502,284,112,1599,272,503,173,563,176,302,23,26.3,3.1,3.1,1.2,23.4,3.4,14.2,1.9,12.4,2.6,23.1,0.4,22.0,0.6,13.9,1.8,3.6,1.4,4.4,1.1,26.8,1.8,2.1,0.8,11.5,2.0,4.5,1.5,5.0,1.5,1.1,0.1,0.1486,0.0405,0.6622,0.5676,0.9595,2.3784,0.4459,0.7703,0.4324,0.027,0.0541,0.9595,2.2433,0.3108,0.5405,0.5405,0.5405,0.5135,0.2027,0.9459,0.3378,0.2162,2.2161,0.3378,7.3783,0.3514,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,3,25649,2032,273,103,88,4417,0,346,249,264,97,330,28,2097,563,33,36,17.9,2.4,0.4,0.3,15.6,0.0,1.2,0.9,0.9,0.3,1.2,0.1,7.4,2.0,0.1,0.1
05,Arkansas,AR,05017,Chicot County,05017,"Chicot County, Arkansas",636.977334754902,10234,0,5131,46,4008,192,4114,438,405,128,1099,193,1438,246,939,166,2176,26,2243,0,2324,282,370,102,103,87,6281,2,222,76,761,152,101,76,458,115,739,86,43.1,4.6,10.9,3.2,27.4,4.6,20.4,3.4,9.8,1.7,21.3,0.3,21.9,0.0,24.4,3.0,9.2,2.5,1.1,0.9,61.4,0.0,4.3,1.5,14.8,3.0,2.5,1.9,11.4,2.9,7.2,0.8,0.973,0.9459,0.9189,0.9595,0.8108,4.6081,1.0,0.7162,0.4189,0.8108,0.8514,0.6892,3.4865,0.9865,0.973,0.973,0.973,0.7973,0.473,0.5676,0.9189,0.8919,3.6487,0.9865,12.7163,1.0,1,1,1,1,0,4,0,0,0,0,0,0,1,1,0,0,0,1,0,1,6,9718,1018,138,5483,84,628,0,26,30,4,8,0,20,140,84,0,20,25.4,3.3,53.6,0.8,6.1,0.0,0.3,0.3,0.0,0.1,0.0,0.4,1.4,0.8,0.0,0.4
05,Arkansas,AR,05019,Clark County,05019,"Clark County, Arkansas",865.970867233442,21469,0,10039,62,7955,264,6046,707,421,150,1933,297,1276,245,1983,358,3470,30,4165,19,4468,419,646,143,109,111,6961,69,719,245,1697,275,225,118,501,153,2567,57,31.7,3.7,4.1,1.4,24.3,3.6,10.3,2.0,9.3,1.7,16.2,0.1,19.4,0.1,21.1,2.0,8.1,1.8,0.5,0.5,32.4,0.3,7.1,2.4,16.9,2.7,2.8,1.5,6.3,1.9,12.0,0.3,0.5405,0.1892,0.7432,0.1622,0.7162,2.3513,0.4054,0.1351,0.1216,0.5405,0.7432,0.4459,1.9863,0.1351,0.6486,0.6486,0.6486,0.9189,0.5676,0.6622,0.5541,0.9459,3.6487,0.9865,8.6349,0.6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,23153,1771,246,5142,167,1092,0,140,86,12,19,9,14,553,155,13,18,22.3,3.0,24.0,0.8,5.1,0.0,0.7,0.4,0.1,0.1,0.0,0.1,2.6,0.7,0.1,0.1
05,Arkansas,AR,05021,Clay County,05021,"Clay County, Arkansas",639.22349819788,14537,0,7514,31,6063,200,4124,538,376,131,1282,198,1624,245,1152,214,3206,120,3043,60,2945,326,347,93,0,80,855,62,55,46,928,144,66,38,355,105,91,5,28.7,3.7,5.6,2.0,21.1,3.2,15.7,2.3,8.0,1.5,22.1,0.8,20.9,0.4,20.4,2.3,5.7,1.5,0.0,0.6,5.9,0.4,0.7,0.6,12.4,1.9,1.1,0.6,5.9,1.8,0.6,0.0,0.2838,0.527,0.4054,0.7432,0.4459,2.4053,0.473,0.7432,0.2838,0.4459,0.3784,0.0,1.8513,0.0676,0.0,0.0,0.0,0.0811,0.3108,0.0946,0.473,0.0135,0.973,0.0,5.2296,0.0676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12103,1408,176,98,59,116,116,6,10,35,31,0,20,600,140,0,20,23.2,2.9,0.7,0.4,0.8,0.8,0.0,0.1,0.2,0.2,0.0,0.3,4.1,1.0,0.0,0.3
05,Arkansas,AR,05023,Cleburne County,05023,"Cleburne County, Arkansas",553.958942565728,24948,0,15619,30,10626,363,6586,720,602,155,1948,282,2251,313,1766,364,6833,96,4715,0,5427,510,418,146,83,123,1890,249,40,36,3242,358,214,99,326,131,315,34,26.8,2.9,6.0,1.5,18.3,2.6,12.1,1.7,7.2,1.5,27.4,0.4,18.9,0.0,22.0,2.1,3.9,1.4,0.3,0.5,7.6,1.0,0.2,0.2,20.8,2.3,2.0,0.9,3.1,1.2,1.3,0.1,0.2027,0.5946,0.1486,0.3378,0.2703,1.554,0.1757,0.973,0.0946,0.5811,0.0946,0.3108,2.0541,0.1892,0.0676,0.0676,0.0676,0.027,0.7703,0.3514,0.0405,0.3243,1.5135,0.0541,5.1892,0.0541,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22635,1972,305,96,22,681,0,53,56,196,80,8,15,763,214,93,139,18.6,2.8,0.4,0.1,2.7,0.0,0.2,0.2,0.8,0.3,0.0,0.1,3.1,0.9,0.4,0.6
05,Arkansas,AR,05025,Cleveland County,05025,"Cleveland County, Arkansas",597.910205045716,7548,0,3604,15,2742,148,2377,386,23,24,520,131,440,168,265,119,1571,39,1556,128,1674,272,224,86,0,72,1209,18,3,18,964,164,31,25,191,91,74,2,31.8,5.2,0.8,0.8,19.0,4.7,8.1,3.1,3.5,1.6,20.8,0.5,20.6,1.7,22.4,3.6,8.2,3.1,0.0,1.0,16.0,0.2,0.1,0.5,26.7,4.6,1.1,0.9,7.0,3.3,1.0,0.0,0.5676,0.0,0.1892,0.0405,0.0,0.7973,0.027,0.6351,0.2568,0.6351,0.7568,0.0,2.2838,0.3243,0.3649,0.3649,0.3649,0.0135,0.9459,0.0946,0.6216,0.1351,1.8107,0.1486,5.2567,0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4983,696,152,992,197,0,18,0,18,2,3,0,18,215,196,0,18,25.4,5.4,13.1,2.6,0.0,0.5,0.0,0.5,0.0,0.1,0.0,0.5,2.8,2.6,0.0,0.5
05,Arkansas,AR,05027,Columbia County,05027,"Columbia County, Arkansas",766.064544993556,22707,0,11051,161,7826,394,6506,773,301,153,1748,311,1659,341,1645,350,3914,89,4760,87,4189,528,624,210,138,136,9294,46,360,179,2098,329,317,159,326,107,1976,133,31.3,3.7,3.2,1.6,22.3,3.8,11.7,2.4,7.4,1.6,17.2,0.4,21.0,0.4,18.8,2.4,8.0,2.7,0.6,0.6,40.9,0.2,3.3,1.6,19.0,3.0,4.1,2.0,4.2,1.3,8.7,0.6,0.5,0.0676,0.527,0.2838,0.3243,1.7027,0.2432,0.2297,0.2973,0.2297,0.6892,0.4865,1.9324,0.0946,0.7838,0.7838,0.7838,0.6892,0.6892,0.9054,0.0946,0.9189,3.2973,0.8919,7.7162,0.4189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,24129,1904,311,8082,52,681,0,104,74,44,55,6,14,366,96,11,16,24.3,3.7,35.6,0.2,3.0,0.0,0.5,0.3,0.2,0.2,0.0,0.1,1.6,0.4,0.0,0.1
05,Arkansas,AR,05029,Conway County,05029,"Conway County, Arkansas",551.916776886654,20782,0,9659,39,8422,228,6975,807,681,162,1707,291,1563,250,1501,314,4048,46,4685,17,5056,606,668,191,168,130,4058,77,164,78,1771,285,137,67,629,194,177,12,33.8,3.9,7.1,1.7,20.3,3.4,10.8,1.7,7.3,1.5,19.5,0.2,22.5,0.1,24.4,2.9,8.0,2.3,0.9,0.7,19.5,0.4,1.7,0.8,18.3,2.9,1.6,0.8,7.5,2.3,0.9,0.1,0.7162,0.7432,0.2973,0.2027,0.2973,2.2567,0.3649,0.4865,0.4865,0.8108,0.6892,0.5946,3.0676,0.9054,0.4595,0.4595,0.4595,0.4324,0.6622,0.1757,0.6757,0.0676,2.0136,0.2432,7.7974,0.4595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20207,1928,330,2290,171,910,0,85,108,75,41,0,24,676,160,22,36,22.9,3.7,11.0,0.8,4.4,0.0,0.4,0.5,0.4,0.2,0.0,0.2,3.3,0.8,0.1,0.2
05,Arkansas,AR,05031,Craighead County,05031,"Craighead County, Arkansas",707.161893762198,111038,0,47084,87,42351,656,31031,1896,3225,529,10697,926,6983,796,9433,1163,15119,238,27699,0,20258,1264,4114,551,963,279,29931,595,3704,516,2375,434,935,235,2884,552,3479,45,28.9,1.8,5.9,1.0,25.3,2.2,9.8,1.1,8.6,1.1,13.6,0.2,24.9,0.0,18.4,1.1,9.7,1.3,0.9,0.3,27.0,0.5,7.9,1.1,5.0,0.9,2.2,0.6,6.8,1.3,3.1,0.0,0.3378,0.5811,0.7838,0.1216,0.5676,2.3919,0.4595,0.027,0.8784,0.1892,0.8649,0.5946,2.5541,0.6081,0.5541,0.5541,0.5541,0.9324,0.0541,0.4189,0.6081,0.7432,2.7567,0.6892,8.2568,0.6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,118531,6093,666,17988,505,6074,0,1357,180,349,144,22,37,3704,806,437,426,14.4,1.5,16.2,0.5,5.5,0.0,1.2,0.2,0.3,0.1,0.0,0.1,3.3,0.7,0.4,0.4
05,Arkansas,AR,05033,Crawford County,05033,"Crawford County, Arkansas",595.268383578238,60593,0,25453,39,22731,459,16740,1670,1373,323,4680,491,5971,700,5326,869,10417,104,14557,178,11415,898,1890,375,778,294,11141,563,779,249,2867,467,803,254,1096,255,740,36,28.1,2.8,5.3,1.2,20.6,2.1,14.5,1.7,8.9,1.5,17.2,0.2,24.0,0.3,19.1,1.5,8.3,1.6,1.4,0.5,18.4,0.9,3.0,1.0,11.3,1.8,3.5,1.1,4.8,1.1,1.2,0.1,0.2432,0.4865,0.3378,0.6216,0.6622,2.3513,0.4054,0.2297,0.8108,0.2703,0.7703,0.7838,2.8649,0.7838,0.4189,0.4189,0.4189,0.6351,0.1892,0.8108,0.2297,0.2432,2.108,0.2973,7.7431,0.4459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54669,4125,525,697,232,5155,0,790,212,598,181,12,30,3608,636,281,218,18.1,2.3,1.2,0.4,8.5,0.0,1.3,0.4,1.0,0.3,0.0,0.1,6.0,1.1,0.5,0.4
05,Arkansas,AR,05035,Crittenden County,05035,"Crittenden County, Arkansas",612.864580682158,47945,0,21335,76,18587,341,15372,934,2372,395,5505,526,4409,410,4068,532,7001,54,12991,43,8311,546,2253,306,190,131,28663,46,1291,279,1320,170,497,138,1788,315,651,17,32.5,2.0,10.4,1.7,29.6,2.8,14.4,1.3,8.6,1.1,14.6,0.1,27.1,0.1,17.5,1.2,12.1,1.6,0.4,0.3,59.8,0.1,6.1,1.3,6.2,0.8,2.7,0.7,9.6,1.7,1.4,0.0,0.6216,0.9324,0.973,0.5946,0.5676,3.6892,0.9189,0.0811,0.9865,0.1216,0.9595,0.4054,2.5541,0.6081,0.9459,0.9459,0.9459,0.8784,0.0676,0.6351,0.8649,0.3514,2.7974,0.7027,9.9866,0.8784,0,1,1,0,0,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,5,44876,2955,368,24003,562,1424,0,367,43,65,51,0,27,2802,566,2,4,15.9,2.0,50.1,1.2,3.0,0.0,0.8,0.1,0.1,0.1,0.0,0.1,5.8,1.2,0.0,0.1
05,Arkansas,AR,05037,Cross County,05037,"Cross County, Arkansas",616.317320211074,16827,0,7618,21,6564,211,5700,671,645,160,1763,324,1912,264,1232,253,3106,29,4042,41,3172,307,844,170,98,123,4687,14,113,64,1322,220,341,174,612,167,199,11,34.3,4.0,8.1,2.0,26.9,4.9,16.5,2.2,7.4,1.5,18.5,0.2,24.0,0.2,19.1,1.9,12.9,2.6,0.6,0.8,27.9,0.1,1.5,0.8,17.4,2.9,5.2,2.6,9.3,2.6,1.2,0.1,0.7703,0.8649,0.8649,0.7973,0.3243,3.6217,0.8784,0.4189,0.8108,0.2703,1.0,0.4865,2.9865,0.8514,0.5676,0.5676,0.5676,0.3649,0.5946,0.9595,0.8378,0.2432,3.0,0.8108,10.1758,0.9054,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,15198,1381,217,3286,277,359,0,5,11,49,68,0,20,988,274,0,20,21.0,3.1,19.5,1.6,2.1,0.0,0.0,0.1,0.3,0.4,0.0,0.2,5.9,1.6,0.0,0.2
05,Arkansas,AR,05039,Dallas County,05039,"Dallas County, Arkansas",667.322595574396,6472,0,3511,29,2289,182,1321,285,167,93,335,116,540,135,327,139,1587,0,1314,0,1709,242,104,69,10,72,3116,31,130,96,631,124,45,44,176,63,401,19,21.8,4.7,6.0,3.2,14.6,4.9,11.6,2.9,5.4,2.3,24.5,0.0,20.3,0.0,28.2,4.0,4.6,3.0,0.2,100.0,48.1,0.5,3.7,2.7,18.0,3.5,1.9,1.9,7.7,2.7,6.2,0.3,0.0676,0.5946,0.0405,0.2568,0.0676,1.0271,0.0676,0.8514,0.2432,1.0,0.2297,0.2568,2.5811,0.6486,0.8919,0.8919,0.8919,0.7568,0.6216,0.3378,0.7162,0.8649,3.2973,0.8919,7.7974,0.4595,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6039,668,139,2853,119,82,60,4,8,0,18,37,49,140,88,0,18,29.2,5.5,44.1,1.8,1.3,0.9,0.1,0.1,0.0,0.6,0.6,0.8,2.2,1.4,0.0,0.6
05,Arkansas,AR,05041,Desha County,05041,"Desha County, Arkansas",741.226428043248,11285,0,5828,17,4603,204,4994,492,222,77,1230,256,1617,237,1000,279,2162,14,2852,0,2288,260,543,133,211,134,6363,9,170,101,605,135,184,94,672,174,101,8,44.7,4.4,5.2,1.8,26.7,5.4,21.0,3.0,8.9,2.5,19.2,0.1,25.3,0.0,20.4,2.3,11.8,2.8,2.0,1.3,56.4,0.1,2.9,1.7,10.4,2.3,4.0,2.0,14.6,3.5,0.9,0.1,1.0,0.4054,0.8514,0.973,0.6622,3.892,0.9459,0.4595,0.9189,0.4459,0.9459,0.8649,3.6351,1.0,0.9189,0.9189,0.9189,0.6216,0.1351,0.8919,0.973,0.0676,2.6892,0.6081,11.1352,0.9865,1,0,0,1,0,2,0,1,0,1,0,2,1,1,0,0,0,1,0,1,6,11048,1272,202,5376,131,762,0,25,40,8,15,0,20,186,123,6,9,27.6,4.2,47.6,1.2,6.8,0.0,0.2,0.4,0.1,0.1,0.0,0.3,1.6,1.1,0.1,0.1
