ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
13,Georgia,GA,13001,Appling County,13001,"Appling County, Georgia",508.262044217584,18441,0,8524,34,6890,281,6863,870,256,135,1639,349,2649,391,2579,462,3232,26,4547,0,2432,329,496,222,526,218,5885,48,123,116,2949,357,262,123,508,188,461,11,37.9,4.8,3.3,1.8,23.8,5.0,21.6,3.2,14.3,2.6,17.5,0.1,24.7,0.0,13.5,1.8,7.2,3.2,3.0,1.3,31.9,0.3,1.4,1.4,34.6,4.2,3.8,1.8,7.4,2.7,2.5,0.1,0.8608,0.1266,0.5127,0.8671,0.5633,2.9305,0.6456,0.5063,0.7848,0.2658,0.4241,0.8734,2.8544,0.7785,0.3354,0.3354,0.3354,0.3987,0.8861,0.8671,0.6835,0.5696,3.405,0.9241,9.5253,0.7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15981,2107,290,3344,292,1898,0,105,119,18,29,0,23,498,249,22,35,30.6,3.9,18.1,1.6,10.3,0.0,0.6,0.6,0.1,0.2,0.0,0.3,2.7,1.3,0.1,0.2
13,Georgia,GA,13003,Atkinson County,13003,"Atkinson County, Georgia",342.718333714948,8265,0,3494,18,3063,121,3796,378,172,74,619,157,1617,230,1917,250,1099,106,2123,6,1059,171,219,86,940,258,3783,39,47,41,1515,202,158,114,134,69,33,28,46.1,4.6,4.6,2.0,20.2,5.1,29.6,4.3,23.3,3.0,13.3,1.3,25.7,0.1,12.9,2.1,7.1,2.8,12.1,3.3,45.8,0.5,1.4,1.2,43.4,5.7,5.1,3.7,4.4,2.3,0.4,0.3,0.981,0.3797,0.2342,1.0,0.9684,3.5633,0.8797,0.1392,0.9114,0.2025,0.4051,1.0,2.6582,0.6139,0.7025,0.7025,0.7025,0.3987,0.9747,0.9747,0.3418,0.057,2.7469,0.5949,9.6709,0.7848,1,0,0,1,1,3,0,1,0,0,1,2,0,0,0,1,1,0,0,2,7,6220,803,162,1259,124,2258,0,0,20,0,20,0,20,266,129,0,20,26.2,5.0,15.2,1.5,27.3,0.0,0.0,0.6,0.0,0.6,0.0,0.6,3.2,1.6,0.0,0.6
13,Georgia,GA,13005,Bacon County,13005,"Bacon County, Georgia",284.082353096338,11138,0,4807,29,3909,185,3545,578,189,119,741,217,1123,255,1627,365,1887,126,2848,0,2356,366,419,183,80,122,3029,23,26,29,1680,219,77,56,289,127,582,26,33.7,5.5,4.3,2.6,19.0,5.5,15.3,3.5,15.4,3.5,16.9,1.1,25.6,0.0,22.3,3.5,10.7,4.7,0.8,1.2,27.2,0.2,0.5,0.6,34.9,4.6,2.0,1.4,7.4,3.2,5.2,0.2,0.6772,0.2785,0.1266,0.4747,0.6582,2.2152,0.3608,0.4304,0.9051,0.9494,0.8481,0.4304,3.5634,0.981,0.2342,0.2342,0.2342,0.1329,0.8987,0.462,0.6835,0.7722,2.9493,0.7089,8.9621,0.6329,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,10406,853,182,1679,208,968,0,70,93,0,23,0,23,312,202,0,23,21.8,4.7,15.1,1.9,8.7,0.0,0.6,0.8,0.0,0.4,0.0,0.4,2.8,1.8,0.0,0.4
13,Georgia,GA,13007,Baker County,13007,"Baker County, Georgia",341.957174934862,2878,0,1421,140,1097,123,1132,247,125,63,216,76,294,101,478,205,764,185,553,120,454,123,44,33,24,53,1373,294,1,14,318,92,14,15,79,51,29,5,39.3,8.6,12.2,5.7,19.7,6.6,14.3,4.9,16.6,7.1,26.5,6.4,19.2,4.2,15.8,4.3,4.0,3.0,0.9,1.9,47.7,10.2,0.1,1.0,22.4,5.9,1.2,1.4,7.2,4.3,1.0,0.2,0.8987,0.9937,0.1709,0.4114,0.7532,3.2279,0.7848,0.9494,0.1709,0.443,0.0823,0.5063,2.1519,0.2911,0.7405,0.7405,0.7405,0.0316,0.5316,0.1709,0.6456,0.2468,1.6265,0.1203,7.7468,0.4367,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1903,463,139,977,279,24,8,284,161,6,8,0,14,82,68,0,14,42.2,9.7,33.9,9.7,0.8,0.3,9.9,5.6,0.2,0.3,0.0,1.6,2.8,2.4,0.0,1.6
13,Georgia,GA,13009,Baldwin County,13009,"Baldwin County, Georgia",258.699172477712,43778,0,20092,43,15853,517,12129,1077,1260,315,4260,594,4046,550,5089,897,7215,106,8243,155,6425,681,1688,391,197,133,21032,54,964,252,4269,489,414,176,1085,221,5121,73,31.0,2.7,7.0,1.8,26.9,3.6,14.5,2.0,12.3,2.2,16.5,0.2,18.8,0.4,15.6,1.6,10.7,2.4,0.5,0.3,48.0,0.1,4.8,1.3,21.2,2.4,2.6,1.1,6.8,1.4,11.7,0.2,0.5823,0.8165,0.7278,0.4241,0.3291,2.8798,0.6203,0.3987,0.1329,0.4304,0.8481,0.2595,2.0696,0.2468,0.7532,0.7532,0.7532,0.7975,0.4937,0.6519,0.6013,0.9304,3.4748,0.9494,9.1774,0.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,46921,2443,353,18171,267,1161,0,695,129,50,26,59,103,846,302,50,46,15.4,2.1,41.5,0.6,2.7,0.0,1.6,0.3,0.1,0.1,0.1,0.2,1.9,0.7,0.1,0.1
13,Georgia,GA,13011,Banks County,13011,"Banks County, Georgia",232.616392023574,18381,0,7308,58,6667,168,4138,669,214,87,1452,262,2665,339,2509,493,3107,62,3958,145,3473,485,233,94,196,114,2515,29,86,87,1763,261,101,50,166,56,0,23,22.6,3.7,2.5,1.0,21.8,3.9,20.6,2.6,13.7,2.7,16.9,0.3,21.5,0.8,18.9,2.6,3.5,1.4,1.1,0.7,13.7,0.2,1.2,1.2,24.1,3.6,1.5,0.7,2.5,0.8,0.0,0.1,0.2278,0.0443,0.3608,0.8354,0.481,1.9493,0.2975,0.4304,0.3797,0.7722,0.0316,0.5886,2.2025,0.3101,0.0949,0.0949,0.0949,0.3608,0.557,0.2468,0.0696,0.0,1.2342,0.038,5.4809,0.1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12250,1061,206,537,188,1409,0,247,160,17,25,0,23,305,137,0,23,15.9,3.1,2.9,1.0,7.7,0.0,1.3,0.9,0.1,0.1,0.0,0.3,1.7,0.7,0.0,0.3
13,Georgia,GA,13013,Barrow County,13013,"Barrow County, Georgia",161.036551894452,84399,0,30357,41,28781,317,16022,1416,1743,400,6632,652,6908,618,13544,894,10667,59,21481,0,11059,801,2358,413,2077,315,28130,470,507,179,2041,261,650,183,982,298,282,9,19.1,1.7,4.0,0.9,23.0,2.3,12.4,1.1,16.1,1.1,12.6,0.1,25.5,0.0,13.1,1.0,8.2,1.4,2.6,0.4,33.3,0.6,1.6,0.6,6.7,0.9,2.2,0.6,3.4,1.0,0.3,0.0,0.1456,0.2342,0.4367,0.3101,0.7025,1.8291,0.2658,0.0886,0.8797,0.2342,0.5759,0.8291,2.6075,0.5633,0.3608,0.3608,0.3608,0.4684,0.1646,0.5253,0.1835,0.038,1.3798,0.0759,6.1772,0.2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65004,2117,319,10480,382,11133,0,3494,118,110,58,10,19,2714,556,189,168,7.4,1.1,12.4,0.5,13.2,0.0,4.1,0.1,0.1,0.1,0.0,0.1,3.2,0.7,0.2,0.2
13,Georgia,GA,13015,Bartow County,13015,"Bartow County, Georgia",458.908822477964,109410,0,42731,43,38429,604,21062,2021,3009,635,8431,927,8874,830,15025,1358,15517,174,25821,27,12924,1123,2364,538,1448,439,27143,700,1630,374,4168,521,612,188,1181,256,1040,18,19.5,1.9,5.5,1.1,21.9,2.4,12.1,1.1,13.9,1.3,14.2,0.2,23.6,0.1,11.9,1.0,6.2,1.4,1.4,0.4,24.8,0.6,3.9,0.9,9.8,1.2,1.6,0.5,3.1,0.7,1.0,0.0,0.1519,0.5696,0.3924,0.2785,0.5063,1.8987,0.2722,0.1646,0.6076,0.1392,0.3228,0.6392,1.8734,0.1329,0.2089,0.2089,0.2089,0.7405,0.2405,0.3101,0.1392,0.2468,1.6771,0.1582,5.6581,0.1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104787,7068,788,11530,482,10489,0,1204,222,48,39,126,34,2753,515,993,711,18.4,2.1,10.5,0.4,9.6,0.0,1.1,0.2,0.0,0.1,0.1,0.1,2.5,0.5,0.9,0.6
13,Georgia,GA,13017,Ben Hill County,13017,"Ben Hill County, Georgia",250.117695294546,17169,0,8122,24,7126,279,6483,803,370,149,1540,344,1870,358,3120,636,3042,26,4215,0,2018,394,851,245,124,135,7819,23,230,120,1737,236,271,183,716,209,328,5,38.7,4.8,5.0,2.0,21.6,4.8,16.3,3.1,18.6,3.8,17.7,0.2,24.6,0.0,12.0,2.4,12.0,3.4,0.8,0.8,45.5,0.1,2.9,1.5,21.4,2.9,3.8,2.6,10.0,2.9,1.9,0.0,0.8797,0.4557,0.3418,0.5633,0.8924,3.1329,0.7342,0.5253,0.7595,0.1519,0.9177,0.4304,2.7848,0.7595,0.6835,0.6835,0.6835,0.6139,0.5,0.8671,0.8354,0.5063,3.3227,0.8987,9.9239,0.8354,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,17644,2459,386,6411,197,1121,0,63,63,0,23,0,23,201,172,23,51,34.5,5.2,37.3,1.1,6.5,0.0,0.4,0.4,0.0,0.3,0.0,0.3,1.2,1.0,0.1,0.3
13,Georgia,GA,13019,Berrien County,13019,"Berrien County, Georgia",453.37624645614,18187,0,8059,27,6773,237,6449,810,351,129,1331,266,2325,332,3902,523,3219,68,4362,45,3096,387,536,160,95,99,3614,79,11,28,2631,342,113,66,259,111,184,5,35.9,4.5,4.6,1.8,19.7,3.9,18.7,2.7,21.8,2.9,17.7,0.4,24.0,0.2,17.3,2.2,7.9,2.3,0.6,0.6,19.9,0.4,0.1,0.3,32.6,4.2,1.7,1.0,3.8,1.6,1.0,0.0,0.7911,0.3797,0.1709,0.7405,0.9494,3.0316,0.6772,0.5253,0.6582,0.6392,0.5253,0.3165,2.6645,0.6203,0.1519,0.1519,0.1519,0.0316,0.8228,0.3481,0.2405,0.2468,1.6898,0.1646,7.5378,0.3861,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14179,1665,301,1869,140,1030,0,194,81,0,23,27,45,494,180,0,23,24.6,4.2,10.3,0.8,5.7,0.0,1.1,0.4,0.0,0.3,0.1,0.2,2.7,1.0,0.0,0.3
13,Georgia,GA,13021,Bibb County,13021,"Bibb County, Georgia",249.382553225526,156554,0,71828,76,59480,834,51903,3057,5286,698,20466,1217,13878,1040,21259,1532,25285,169,37914,0,24430,1258,6711,684,1501,418,100249,500,8336,729,1994,364,1038,301,6867,777,6019,129,34.6,2.0,7.5,1.0,34.4,2.0,13.5,1.0,13.9,1.0,16.2,0.1,24.2,0.0,15.9,0.8,11.3,1.1,1.0,0.3,64.0,0.3,11.6,1.0,2.8,0.5,1.8,0.5,11.5,1.3,3.8,0.1,0.7405,0.8544,0.9557,0.3734,0.5063,3.4303,0.8354,0.3544,0.6962,0.4494,0.8987,0.5506,2.9493,0.8291,0.9114,0.9114,0.9114,0.9494,0.038,0.3734,0.9367,0.7152,3.0127,0.7468,10.3037,0.8924,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,2,4,183055,9568,716,84745,927,5853,0,3373,168,73,44,39,39,4934,863,1232,559,16.1,1.2,54.1,0.6,3.7,0.0,2.2,0.1,0.0,0.1,0.0,0.1,3.2,0.6,0.8,0.4
13,Georgia,GA,13023,Bleckley County,13023,"Bleckley County, Georgia",215.878171092852,12413,0,5215,34,4223,205,3013,529,324,160,884,209,984,282,1108,320,2140,107,2375,62,2393,390,602,169,60,109,3907,27,59,51,1328,244,71,61,170,91,1233,30,27.0,4.7,6.1,3.0,20.9,4.8,12.1,3.4,9.2,2.7,17.2,0.9,19.1,0.5,19.9,3.3,14.2,3.9,0.5,0.9,31.5,0.2,1.1,1.0,25.5,4.7,1.7,1.4,4.0,2.1,9.9,0.2,0.4304,0.6772,0.2848,0.2785,0.0759,1.7468,0.2405,0.4937,0.1582,0.8354,0.981,0.2595,2.7278,0.6962,0.3228,0.3228,0.3228,0.3228,0.5886,0.3481,0.2658,0.9177,2.443,0.4684,7.2404,0.3291,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,12879,1152,233,3252,36,425,0,116,70,0,23,0,23,114,85,0,23,27.3,5.1,26.2,0.3,3.4,0.0,0.9,0.6,0.0,0.4,0.0,0.4,0.9,0.7,0.0,0.4
13,Georgia,GA,13025,Brantley County,13025,"Brantley County, Georgia",443.234384758316,18105,0,8173,31,6649,332,5700,812,238,138,1408,312,2569,525,2866,414,2994,65,4089,192,2921,603,228,129,26,93,1632,76,0,32,4340,423,95,88,434,183,75,6,31.7,4.5,3.3,1.9,21.2,4.6,20.4,4.2,15.9,2.3,16.5,0.4,22.6,1.1,16.2,3.3,3.5,1.9,0.2,0.5,9.0,0.4,0.0,0.4,53.1,5.2,1.5,1.3,6.5,2.8,0.4,0.0,0.6139,0.1266,0.3165,0.8228,0.6899,2.5697,0.481,0.3987,0.4747,0.4873,0.0316,0.1013,1.4936,0.0316,0.0316,0.0316,0.0316,0.0,0.9937,0.2468,0.557,0.057,1.8545,0.2025,5.9494,0.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12937,1818,334,667,203,474,0,126,173,0,23,0,23,365,221,0,23,27.3,4.7,3.7,1.1,2.6,0.0,0.7,1.0,0.0,0.3,0.0,0.3,2.0,1.2,0.0,0.3
13,Georgia,GA,13027,Brooks County,13027,"Brooks County, Georgia",493.18402096005,16275,0,7324,15,5957,276,6807,799,340,147,1776,312,1997,396,2979,539,3203,98,3505,36,2733,356,478,150,98,128,7566,251,294,178,2144,279,125,82,431,149,183,8,42.2,5.0,4.9,2.0,29.8,5.1,17.5,3.5,18.5,3.3,19.7,0.6,21.5,0.2,17.0,2.2,8.0,2.5,0.6,0.8,46.5,1.5,4.0,2.4,29.3,3.8,2.1,1.4,7.2,2.4,1.1,0.0,0.943,0.443,0.8608,0.6646,0.8861,3.7975,0.9241,0.7468,0.3797,0.6013,0.538,0.3165,2.5823,0.5443,0.7278,0.7278,0.7278,0.7532,0.6962,0.4747,0.6456,0.3354,2.9051,0.6962,10.0127,0.8481,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11760,2034,307,5610,232,1238,0,105,113,6,12,0,23,399,198,208,250,34.1,5.1,34.5,1.4,7.6,0.0,0.6,0.7,0.0,0.1,0.0,0.3,2.5,1.2,1.3,1.5
13,Georgia,GA,13029,Bryan County,13029,"Bryan County, Georgia",437.56330970197,44995,0,16753,25,15255,386,5279,903,1181,267,3043,486,2151,416,3691,696,4732,97,13160,27,5438,592,1264,316,636,294,13351,259,438,216,2034,308,250,178,451,175,131,6,11.8,2.0,5.5,1.2,19.9,3.1,7.6,1.5,8.6,1.6,10.5,0.2,29.2,0.1,12.6,1.4,8.3,2.1,1.5,0.7,29.7,0.6,2.6,1.3,12.1,1.8,1.6,1.2,3.0,1.1,0.3,0.0,0.019,0.5696,0.1899,0.0696,0.038,0.8861,0.0696,0.0253,1.0,0.1835,0.5949,0.6582,2.4619,0.462,0.2785,0.2785,0.2785,0.5823,0.2848,0.3101,0.1139,0.038,1.3291,0.0696,4.9556,0.0886,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,35004,1658,377,6055,479,3669,0,768,184,33,39,25,39,2585,542,216,172,10.9,2.4,13.5,1.1,8.2,0.0,1.7,0.4,0.1,0.1,0.1,0.1,5.7,1.2,0.5,0.4
13,Georgia,GA,13031,Bulloch County,13031,"Bulloch County, Georgia",675.962368368032,79829,0,33086,100,29634,494,23458,1972,3287,588,8398,841,5087,558,9400,1038,9408,162,15917,24,11459,997,2584,396,510,278,29851,165,3094,454,5235,626,424,172,1610,363,6694,246,32.2,2.7,8.3,1.5,28.3,2.8,11.3,1.2,11.9,1.3,11.8,0.2,19.9,0.1,14.5,1.3,8.8,1.3,0.7,0.4,37.4,0.2,9.4,1.4,15.8,1.9,1.4,0.6,5.4,1.2,8.4,0.3,0.6456,0.8987,0.8038,0.2152,0.2658,2.8291,0.6013,0.0506,0.2152,0.3481,0.6646,0.3418,1.6203,0.0443,0.462,0.462,0.462,0.9304,0.3734,0.2278,0.4494,0.8797,2.8607,0.6456,7.7721,0.4557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,84055,4724,638,22001,451,3550,0,1196,102,79,49,263,354,2568,437,194,114,15.9,2.1,27.6,0.6,4.4,0.0,1.5,0.1,0.1,0.1,0.3,0.4,3.2,0.5,0.2,0.1
