ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
33,New Hampshire,NH,33001,Belknap County,33001965100,Census Tract 9651; Belknap County; New Hampshire,50.030389435034,3424,25,1831,164,1362,149,388,137,15,17,282,77,158,77,249,113,1051,164,420,94,836,148,4,13,0,48,72,58,0,16,94,55,0,16,28,21,109,9,11.3,4.0,0.9,1.0,20.7,5.2,5.4,2.6,7.3,3.3,30.7,4.7,12.3,2.7,24.5,4.3,0.3,1.0,0.0,1.4,2.1,1.7,0.0,0.9,5.1,2.9,0.0,1.2,2.1,1.5,3.2,0.3,0.5087,0.0983,0.3584,0.5231,0.6879,2.1764,0.3757,0.9306,0.104,0.9711,0.0636,0.0,2.0693,0.2948,0.0405,0.0405,0.0405,0.0,0.6301,0.0,0.3468,0.7948,1.7717,0.2717,6.0579,0.237,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2381,146,65,11,19,22,22,0,12,0,12,0,12,39,35,0,12,10.7,4.4,0.3,0.6,0.6,0.6,0.0,0.9,0.0,0.9,0.0,0.9,1.1,1.0,0.0,0.9
33,New Hampshire,NH,33001,Belknap County,33001965200,Census Tract 9652; Belknap County; New Hampshire,13.642054320846,3547,369,3029,246,1713,233,619,241,102,132,465,176,117,102,372,210,1001,246,499,126,668,217,116,66,0,48,122,524,175,80,173,78,20,29,58,40,0,12,17.5,6.5,6.5,7.7,27.1,9.6,4.4,3.8,10.5,5.7,28.2,6.6,14.1,3.2,18.8,6.3,6.7,3.7,0.0,1.4,3.4,14.8,5.7,2.6,5.7,2.7,1.2,1.7,3.4,2.4,0.0,0.3,0.7514,0.8757,0.6301,0.4075,0.9162,3.5809,0.8266,0.896,0.1821,0.8642,0.8035,0.0,2.7458,0.7023,0.1301,0.1301,0.1301,0.5694,0.6561,0.5838,0.5491,0.0,2.3584,0.4884,8.8152,0.6908,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3172,215,128,0,12,44,44,0,12,22,32,0,12,56,83,0,12,12.6,7.0,0.0,0.9,1.2,1.3,0.0,0.9,0.6,0.9,0.0,0.9,1.6,2.3,0.0,0.9
33,New Hampshire,NH,33001,Belknap County,33001965300,Census Tract 9653; Belknap County; New Hampshire,26.43226299605,3141,369,2208,180,1529,189,424,194,27,30,441,147,92,79,111,104,1097,214,338,156,630,185,71,56,1,46,227,516,126,123,99,81,0,16,49,35,49,13,13.8,6.1,1.7,2.0,28.8,8.9,3.5,3.0,3.6,3.4,34.9,7.4,10.8,4.4,20.4,5.7,4.6,3.6,0.0,1.5,7.2,16.4,5.7,5.6,4.5,3.7,0.0,1.0,3.2,2.2,1.6,0.4,0.6156,0.2312,0.7139,0.3092,0.2832,2.1531,0.3642,0.974,0.0549,0.922,0.6185,0.0,2.5694,0.6012,0.4335,0.4335,0.4335,0.5694,0.5983,0.0,0.5087,0.7052,2.3816,0.5116,7.5376,0.4711,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3820,232,133,28,45,20,28,111,111,0,12,0,12,68,113,0,12,15.2,8.5,0.9,1.4,0.6,0.9,3.5,3.5,0.0,1.0,0.0,1.0,2.2,3.5,0.0,1.0
33,New Hampshire,NH,33001,Belknap County,33001965400,Census Tract 9654; Belknap County; New Hampshire,47.372838172076,3047,21,1627,200,1125,132,385,134,162,118,238,95,215,193,278,199,664,211,539,102,793,322,31,39,13,46,158,100,0,16,107,85,0,16,35,43,13,2,12.6,4.4,8.8,6.1,21.2,8.1,9.1,8.4,9.1,6.5,21.8,7.0,17.7,3.4,26.0,10.5,2.8,3.5,0.4,1.6,5.2,3.3,0.0,1.0,6.6,5.1,0.0,1.4,3.1,3.8,0.4,0.1,0.5665,0.9538,0.3844,0.7919,0.8353,3.5319,0.8179,0.6474,0.4335,0.9884,0.3815,0.6445,3.0953,0.8786,0.2746,0.2746,0.2746,0.0,0.711,0.0,0.4913,0.526,1.7283,0.2514,8.6301,0.6561,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1599,148,93,29,41,13,2,29,33,0,12,0,12,87,75,0,12,13.2,7.8,1.0,1.4,0.4,0.1,1.0,1.1,0.0,1.1,0.0,1.1,2.9,2.5,0.0,1.1
33,New Hampshire,NH,33001,Belknap County,33001965598,Census Tract 9655.98; Belknap County; New Hampshire,11.144923805664,3970,17,1947,173,1598,137,644,274,37,55,390,121,177,111,247,105,895,167,662,157,556,200,84,71,6,47,146,112,92,64,277,126,0,16,27,28,286,19,17.3,7.4,1.7,2.5,24.4,7.3,5.6,3.5,6.6,2.8,22.5,4.2,16.7,4.0,14.9,5.3,5.3,4.4,0.2,1.3,3.7,2.8,4.7,3.3,14.2,6.4,0.0,1.0,1.7,1.7,7.2,0.5,0.7428,0.2312,0.5058,0.5607,0.6069,2.6474,0.578,0.6994,0.3584,0.6763,0.711,0.5145,2.9596,0.8208,0.1474,0.1474,0.1474,0.5289,0.9017,0.0,0.2717,0.9133,2.6156,0.6185,8.37,0.6098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,7995,156,104,26,46,23,26,4,20,0,12,0,12,93,96,0,12,9.8,6.3,0.7,1.2,0.6,0.7,0.1,0.5,0.0,0.8,0.0,0.8,2.3,2.4,0.0,0.8
33,New Hampshire,NH,33001,Belknap County,33001965600,Census Tract 9656; Belknap County; New Hampshire,57.900324261726,3960,27,2271,204,1575,155,388,197,53,53,317,123,139,94,106,94,677,161,821,165,410,148,105,74,0,48,146,97,0,16,33,36,0,16,0,12,1,1,9.8,5.0,2.3,2.2,20.1,7.6,4.7,3.2,2.7,2.4,17.1,4.1,20.7,4.2,10.4,3.7,6.7,4.7,0.0,1.3,3.7,2.4,0.0,0.7,1.5,1.6,0.0,1.0,0.0,2.0,0.0,0.0,0.4191,0.3439,0.3208,0.4538,0.1965,1.7341,0.2775,0.3642,0.7081,0.289,0.8035,0.0,2.1648,0.3468,0.1474,0.1474,0.1474,0.0,0.4046,0.0,0.0,0.0,0.4046,0.0202,4.4509,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929,163,124,34,61,94,82,5,9,0,12,0,12,13,16,0,12,10.3,7.4,0.9,1.5,2.4,2.1,0.1,0.2,0.0,0.8,0.0,0.8,0.3,0.4,0.0,0.8
33,New Hampshire,NH,33001,Belknap County,33001965700,Census Tract 9657; Belknap County; New Hampshire,43.059957209946,4941,20,2475,201,1840,167,386,195,36,45,541,157,203,101,275,127,967,209,1022,193,618,185,110,76,0,48,403,168,0,16,141,91,0,16,15,18,0,12,7.8,3.9,1.4,1.8,29.4,8.1,5.8,2.9,5.6,2.6,19.6,4.3,20.7,3.9,12.5,3.8,6.0,4.1,0.0,1.0,8.2,3.4,0.0,0.6,5.7,3.5,0.0,0.9,0.8,1.0,0.0,0.2,0.3237,0.1647,0.7254,0.578,0.5145,2.3063,0.4249,0.5202,0.7081,0.4798,0.7572,0.0,2.4653,0.5491,0.5058,0.5058,0.5058,0.0,0.6561,0.0,0.1474,0.0,0.8035,0.0665,6.0809,0.2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,118,57,0,12,83,118,26,31,131,88,0,12,129,96,34,40,6.4,3.0,0.0,0.7,1.7,2.4,0.5,0.6,2.7,1.8,0.0,0.7,2.6,1.9,0.7,0.8
33,New Hampshire,NH,33001,Belknap County,33001965801,Census Tract 9658.01; Belknap County; New Hampshire,13.617085490608,3426,435,1763,167,1282,178,373,262,20,34,293,152,204,137,275,153,723,265,650,170,334,215,38,45,0,48,198,623,0,16,494,178,10,21,34,33,5,3,10.9,7.5,1.0,1.8,22.9,11.4,7.7,5.3,8.0,4.3,21.1,7.2,19.0,4.1,9.8,6.1,2.9,3.5,0.0,1.4,5.8,18.2,0.0,0.9,28.0,9.1,0.8,1.6,2.7,2.6,0.1,0.1,0.4798,0.1098,0.4538,0.711,0.7457,2.5001,0.5145,0.6012,0.5665,0.2428,0.4046,0.0,1.8151,0.2081,0.315,0.315,0.315,0.0,0.974,0.4942,0.4133,0.3439,2.2254,0.4306,6.8556,0.3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2910,62,69,0,12,132,108,0,12,0,12,0,12,66,108,0,12,4.8,5.2,0.0,0.9,3.9,3.1,0.0,0.9,0.0,0.9,0.0,0.9,1.9,3.1,0.0,0.9
33,New Hampshire,NH,33001,Belknap County,33001965802,Census Tract 9658.02; Belknap County; New Hampshire,16.326030790786,3932,435,1849,216,1658,239,1023,378,50,61,413,176,390,200,323,191,871,231,949,324,756,191,24,40,0,48,247,628,38,38,534,216,82,78,125,81,3,3,26.0,9.2,2.8,3.5,24.9,10.0,14.1,6.5,8.2,4.8,22.2,6.0,24.1,6.7,19.2,5.0,1.4,2.4,0.0,1.3,6.3,16.0,2.1,2.0,28.9,10.1,4.9,4.7,7.5,4.8,0.1,0.1,0.9075,0.4595,0.526,0.9277,0.7659,3.5866,0.8295,0.6734,0.8988,0.8873,0.1763,0.0,2.6358,0.6474,0.3584,0.3584,0.3584,0.3931,0.9769,0.9451,0.8006,0.3439,3.4596,0.922,10.0404,0.8555,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,3389,354,215,0,12,111,145,80,104,0,12,0,12,56,58,0,12,21.4,11.1,0.0,0.8,2.8,3.7,2.0,2.6,0.0,0.8,0.0,0.8,1.4,1.5,0.0,0.8
33,New Hampshire,NH,33001,Belknap County,33001965900,Census Tract 9659; Belknap County; New Hampshire,1.55065319985,4375,504,1990,218,1875,218,969,325,43,45,798,254,434,174,439,215,813,181,891,266,900,239,146,104,37,63,294,674,271,180,210,104,0,16,212,141,58,6,22.3,7.0,1.8,1.9,42.6,12.6,13.6,5.5,10.1,4.8,18.6,4.1,20.4,5.1,20.7,5.8,7.8,5.5,0.9,1.5,6.7,15.4,13.6,8.9,10.6,5.2,0.0,0.9,11.3,7.2,1.3,0.2,0.8815,0.2457,0.9451,0.9191,0.8931,3.8845,0.896,0.4653,0.6908,0.9277,0.8613,0.8064,3.7515,0.9855,0.3931,0.3931,0.3931,0.7457,0.8324,0.0,0.9133,0.6676,3.159,0.8353,11.1881,0.948,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,4,4681,347,140,1,5,97,102,37,41,6,15,0,12,127,163,26,41,18.5,6.9,0.0,0.1,2.2,2.2,0.8,0.9,0.1,0.3,0.0,0.7,2.9,3.6,0.6,0.9
33,New Hampshire,NH,33001,Belknap County,33001966000,Census Tract 9660; Belknap County; New Hampshire,6.840860254908,5452,573,2325,239,2046,236,922,377,169,108,614,210,332,159,436,235,1158,209,1017,318,1102,397,133,145,0,68,543,839,317,140,0,17,108,142,172,151,359,12,18.1,7.1,5.9,3.9,30.0,9.7,8.4,4.0,8.6,4.5,21.2,4.0,18.7,4.4,21.6,7.9,6.5,7.0,0.0,1.3,10.0,15.4,13.6,5.9,0.0,1.4,5.3,6.9,8.4,7.2,6.6,0.7,0.7717,0.8439,0.7428,0.7601,0.7948,3.9133,0.9017,0.6156,0.5318,0.948,0.7861,0.0,2.8815,0.7746,0.5838,0.5838,0.5838,0.7457,0.0,0.9624,0.8353,0.9017,3.4451,0.9162,10.8237,0.9249,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,3,7269,172,144,0,17,348,161,95,135,0,17,0,17,61,61,39,96,8.4,6.7,0.0,0.6,6.4,3.1,1.7,2.5,0.0,0.6,0.0,0.6,1.1,1.1,0.7,1.8
33,New Hampshire,NH,33001,Belknap County,33001966100,Census Tract 9661; Belknap County; New Hampshire,6.407904777208,4143,655,2815,257,1844,241,581,276,53,59,480,168,154,107,99,82,1004,273,715,135,706,190,104,71,15,55,285,955,200,104,124,87,106,86,130,106,29,3,14.0,6.3,2.3,2.3,26.0,8.5,5.1,3.4,2.4,2.0,24.2,5.8,17.3,2.5,17.3,4.3,5.6,3.8,0.4,1.4,6.9,23.0,7.1,3.6,4.4,3.1,5.7,4.6,7.0,5.6,0.7,0.1,0.6272,0.3439,0.5723,0.4942,0.1532,2.1908,0.3873,0.763,0.4046,0.8092,0.7283,0.6445,3.3496,0.9335,0.4017,0.4017,0.4017,0.6127,0.5954,0.9711,0.7717,0.5954,3.5463,0.9422,9.4884,0.8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3596,136,115,188,198,33,49,39,46,0,12,0,12,25,45,0,12,7.4,6.1,4.5,4.9,0.8,1.2,0.9,1.1,0.0,0.8,0.0,0.8,0.6,1.1,0.0,0.8
33,New Hampshire,NH,33001,Belknap County,33001966200,Census Tract 9662; Belknap County; New Hampshire,5.038706003788,2928,520,2943,207,1200,182,293,137,17,23,451,138,178,113,322,252,739,117,473,129,561,263,112,80,0,48,124,720,181,106,229,124,0,16,35,33,79,7,10.3,4.5,1.1,1.5,37.6,10.0,7.9,5.0,11.2,7.8,25.2,4.9,16.2,4.3,19.5,7.8,9.4,6.5,0.0,1.7,4.2,24.6,6.2,3.6,7.8,4.2,0.0,1.3,2.9,2.7,2.7,0.5,0.4538,0.1243,0.8757,0.7283,0.9277,3.1098,0.7052,0.8064,0.315,0.9046,0.9249,0.0,2.9509,0.8121,0.1936,0.1936,0.1936,0.5838,0.7457,0.0,0.4422,0.7746,2.5463,0.5809,8.8006,0.685,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,3906,107,71,9,15,5,11,16,24,7,12,0,12,87,74,0,12,8.9,5.6,0.3,0.5,0.2,0.4,0.5,0.8,0.2,0.4,0.0,1.1,3.0,2.4,0.0,1.1
33,New Hampshire,NH,33001,Belknap County,33001966401,Census Tract 9664.01; Belknap County; New Hampshire,5.169960220382,1269,288,2144,182,599,135,266,212,36,30,128,97,14,14,157,173,340,96,98,58,200,116,6,15,18,55,38,407,34,40,266,110,6,15,43,33,0,12,21.0,16.0,6.3,4.9,21.4,15.5,1.3,1.3,12.4,12.2,26.8,8.1,7.7,3.9,15.8,7.3,1.0,2.5,1.5,4.5,3.0,32.1,1.6,1.9,12.4,4.9,1.0,2.5,7.2,5.2,0.0,0.9,0.8584,0.8699,0.3931,0.0694,0.9509,3.1417,0.7197,0.8468,0.0145,0.7312,0.1301,0.8642,2.5868,0.6185,0.0983,0.0983,0.0983,0.3584,0.8642,0.5376,0.7861,0.0,2.5463,0.5809,8.3731,0.6127,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2068,44,39,0,12,0,12,21,32,0,12,0,12,17,21,0,12,7.3,5.9,0.0,2.5,0.0,2.5,1.7,2.5,0.0,2.5,0.0,2.5,1.3,1.6,0.0,2.5
33,New Hampshire,NH,33001,Belknap County,33001966403,Census Tract 9664.03; Belknap County; New Hampshire,11.858248022868,4369,387,2024,227,1672,177,370,249,26,41,269,125,166,143,385,251,875,286,964,297,704,280,74,99,15,52,607,612,22,36,201,154,0,16,34,41,0,12,8.5,5.6,1.2,1.9,16.1,7.3,5.2,4.4,8.8,5.8,20.0,6.8,22.1,5.6,16.1,6.0,4.4,5.9,0.4,1.2,13.9,14.0,1.1,1.8,9.9,7.2,0.0,1.0,2.0,2.5,0.0,0.3,0.3584,0.1474,0.1734,0.5087,0.8121,2.0,0.341,0.5462,0.7861,0.7514,0.5983,0.6445,3.3265,0.9277,0.7399,0.7399,0.7399,0.3035,0.8179,0.0,0.3324,0.0,1.4538,0.159,7.5202,0.4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,101,87,0,12,164,137,307,192,0,12,0,12,136,118,0,12,6.0,5.1,0.0,0.7,3.8,3.2,7.0,4.5,0.0,0.7,0.0,0.7,3.1,2.7,0.0,0.7
33,New Hampshire,NH,33001,Belknap County,33001966404,Census Tract 9664.04; Belknap County; New Hampshire,21.757583610412,2087,373,1000,161,798,130,68,47,0,12,134,85,0,12,136,196,341,138,462,172,107,63,21,28,0,48,77,540,145,96,0,12,0,16,24,29,1,2,3.3,2.2,0.0,3.0,16.8,10.3,0.0,2.3,6.5,9.6,16.3,7.9,22.1,5.9,5.1,3.1,2.6,3.5,0.0,2.7,3.7,25.9,14.5,9.3,0.0,3.2,0.0,2.0,3.0,3.7,0.0,0.1,0.078,0.0,0.1965,0.0,0.5896,0.8641,0.052,0.3295,0.7861,0.0173,0.3439,0.0,1.4768,0.078,0.1474,0.1474,0.1474,0.763,0.0,0.0,0.4595,0.0,1.2225,0.1272,3.7108,0.0231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720,72,77,0,12,0,12,0,12,0,12,0,12,74,74,3,7,9.0,9.9,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,3.5,3.7,0.1,0.3
33,New Hampshire,NH,33001,Belknap County,33001966501,Census Tract 9665.01; Belknap County; New Hampshire,39.545804683012,3141,361,2031,217,1062,138,166,127,45,47,201,103,56,59,79,90,823,170,573,148,331,145,110,98,0,48,54,505,0,16,48,46,15,29,16,25,7,3,5.3,4.0,2.7,2.8,18.9,9.4,2.6,2.7,2.5,2.9,26.2,5.4,18.2,4.8,10.6,4.8,10.4,9.1,0.0,1.6,1.7,16.1,0.0,0.8,2.4,2.3,1.4,2.7,1.5,2.3,0.2,0.1,0.185,0.4191,0.2775,0.2081,0.1676,1.2573,0.1561,0.8295,0.474,0.2977,0.948,0.0,2.5492,0.5954,0.0347,0.0347,0.0347,0.0,0.4711,0.6185,0.2514,0.422,1.763,0.2659,5.6042,0.2052,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2555,74,79,0,12,27,37,12,22,0,12,0,12,15,26,0,12,7.0,7.0,0.0,1.0,0.9,1.2,0.4,0.7,0.0,1.0,0.0,1.0,0.5,0.8,0.0,1.0
33,New Hampshire,NH,33001,Belknap County,33001966502,Census Tract 9665.02; Belknap County; New Hampshire,24.15150249726,2762,363,2206,229,1178,179,144,107,32,37,235,113,132,106,99,102,506,186,377,128,336,130,0,16,0,48,210,520,10,20,206,92,0,16,0,12,0,12,5.2,3.8,2.0,2.3,19.9,9.1,6.0,4.8,3.6,3.5,18.3,6.9,13.6,3.8,12.2,5.0,0.0,1.4,0.0,1.8,7.6,18.8,0.5,0.9,9.3,4.1,0.0,1.4,0.0,2.7,0.0,0.4,0.1734,0.2775,0.3092,0.5809,0.2832,1.6242,0.237,0.4451,0.1561,0.4451,0.0,0.0,1.0463,0.0231,0.4682,0.4682,0.4682,0.2081,0.8121,0.0,0.0,0.0,1.0202,0.1069,4.1589,0.0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,101,79,0,12,62,87,0,12,0,12,12,21,136,87,0,12,8.6,6.4,0.0,1.2,2.2,3.1,0.0,1.2,0.0,1.2,0.4,0.8,4.9,3.2,0.0,1.2
33,New Hampshire,NH,33003,Carroll County,33003955101,Census Tract 9551.01; Carroll County; New Hampshire,107.145794971798,2411,392,2329,147,974,158,453,282,117,111,271,146,58,35,124,111,602,169,337,155,476,171,0,16,0,48,58,553,172,94,15,20,21,26,0,12,0,12,18.8,11.3,9.2,8.2,27.8,14.3,3.0,1.8,5.1,4.4,25.0,8.2,14.0,6.0,19.7,6.3,0.0,1.6,0.0,2.1,2.4,22.9,7.4,4.0,0.6,0.8,2.2,2.6,0.0,3.3,0.0,0.5,0.8006,0.9682,0.6618,0.2486,0.4422,3.1214,0.7081,0.8006,0.1676,0.9133,0.0,0.0,1.8815,0.2341,0.0665,0.0665,0.0665,0.6185,0.3208,0.7688,0.0,0.0,1.7081,0.2457,6.7775,0.341,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1528,150,97,27,52,0,12,0,12,0,12,0,12,31,39,0,12,15.4,9.5,1.1,2.2,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3,1.3,1.6,0.0,1.3
33,New Hampshire,NH,33003,Carroll County,33003955102,Census Tract 9551.02; Carroll County; New Hampshire,55.590547811534,2194,392,3551,315,1396,291,241,122,52,70,446,184,52,57,153,104,1077,307,53,49,492,226,23,36,24,57,27,552,82,62,66,72,0,16,4,6,25,3,11.0,5.2,4.8,6.4,31.9,11.4,2.4,2.6,7.0,4.4,49.1,12.2,2.4,2.2,22.4,9.7,1.6,2.6,1.1,2.6,1.2,25.2,2.3,1.7,1.9,2.1,0.0,1.1,0.3,0.4,1.1,0.2,0.4884,0.7486,0.7803,0.1821,0.6445,2.8439,0.6214,0.9971,0.0,0.9538,0.1994,0.8295,2.9798,0.8382,0.0145,0.0145,0.0145,0.4075,0.4451,0.0,0.0751,0.6445,1.5722,0.2139,7.4104,0.4509,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2761,147,129,3,8,4,7,13,16,0,12,0,12,7,8,0,12,10.5,8.6,0.1,0.4,0.2,0.3,0.6,0.7,0.0,1.5,0.0,1.5,0.3,0.3,0.0,1.5
33,New Hampshire,NH,33003,Carroll County,33003955301,Census Tract 9553.01; Carroll County; New Hampshire,83.858634697512,2762,483,2316,247,1413,266,590,255,42,51,613,242,53,36,171,172,861,289,453,287,382,153,104,94,3,46,155,676,101,102,265,108,19,24,58,63,58,5,21.5,8.5,2.7,3.3,43.4,15.1,2.3,1.7,6.2,5.8,31.2,10.9,16.4,8.9,13.9,6.1,7.3,6.5,0.1,1.7,5.6,24.5,4.3,4.4,11.4,4.5,1.3,1.7,4.1,4.5,2.1,0.4,0.8728,0.4191,0.9509,0.1763,0.5636,2.9827,0.6561,0.9422,0.3295,0.5983,0.8353,0.4422,3.1475,0.8902,0.2948,0.2948,0.2948,0.5173,0.841,0.5954,0.6156,0.7486,3.3179,0.8902,9.7429,0.8266,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3639,179,125,0,12,12,11,72,56,0,12,0,12,71,61,0,12,12.7,8.7,0.0,1.2,0.4,0.4,2.6,2.1,0.0,1.2,0.0,1.2,2.6,2.1,0.0,1.2
33,New Hampshire,NH,33003,Carroll County,33003955302,Census Tract 9553.02; Carroll County; New Hampshire,13.391630108054,3077,543,2148,272,1341,244,628,358,330,267,560,232,136,106,204,150,728,191,471,263,605,252,124,118,0,48,181,766,435,185,321,136,0,16,88,101,106,7,21.1,11.4,17.3,12.4,41.8,15.5,5.6,4.1,6.9,4.5,23.7,6.4,15.3,7.7,20.4,6.8,9.3,8.6,0.0,1.6,5.9,24.9,20.3,8.2,14.9,5.9,0.0,1.2,6.6,7.1,3.4,0.6,0.8642,1.0,0.9306,0.5607,0.6358,3.9913,0.9249,0.7428,0.2543,0.922,0.9191,0.0,2.8382,0.7486,0.3208,0.3208,0.3208,0.8266,0.9191,0.0,0.7514,0.8006,3.2977,0.8815,10.448,0.9075,0,1,1,0,0,2,0,0,1,1,0,2,0,0,0,1,0,0,0,1,5,6584,129,97,0,12,43,45,91,94,0,12,0,12,47,47,0,12,9.6,6.8,0.0,1.0,1.4,1.5,3.0,3.1,0.0,1.0,0.0,1.0,1.5,1.5,0.0,1.0
33,New Hampshire,NH,33003,Carroll County,33003955401,Census Tract 9554.01; Carroll County; New Hampshire,7.852978385158,2524,436,1184,104,825,138,271,236,83,71,214,99,121,74,231,142,585,200,449,135,201,101,64,48,0,48,96,607,45,48,85,61,17,23,71,49,7,2,10.7,9.2,5.5,4.6,25.9,11.2,7.8,5.2,9.2,4.9,23.2,7.7,17.8,5.2,8.0,4.1,7.8,5.7,0.0,2.0,3.8,24.0,3.8,4.0,7.2,5.1,2.1,2.8,8.6,6.0,0.3,0.1,0.4711,0.8179,0.5665,0.7197,0.8439,3.4191,0.7919,0.7225,0.4451,0.1098,0.8613,0.0,2.1387,0.3237,0.1676,0.1676,0.1676,0.4798,0.7312,0.7341,0.8468,0.4798,3.2717,0.8757,8.9971,0.7197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,98,67,5,8,0,12,0,12,0,12,0,12,91,88,0,12,11.9,7.4,0.2,0.3,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3,3.6,3.4,0.0,1.3
